layer,x_um,y_um,w_um,h_um
feed,0.0,1.5,260.0,3.0
feed,0.0,-4.5,260.0,3.0
feed,560.0,1.5,260.0,3.0
feed,560.0,-4.5,260.0,3.0
design,404.0,1.5,12.5,21.5
design,357.0,1.5,16.5,17.0
design,447.0,1.5,16.5,17.0
design,304.5,1.5,21.5,12.0
design,494.5,1.5,21.5,12.0
design,260.0,1.5,44.5,3.0
design,326.0,1.5,31.0,3.0
design,373.5,1.5,30.5,3.0
design,416.5,1.5,30.5,3.0
design,463.5,1.5,31.0,3.0
design,516.0,1.5,44.0,3.0
design,260.0,-4.5,300.0,3.0
design,304.5,-13.5,21.5,9.0
design,357.0,-18.5,16.5,14.0
design,404.0,-23.0,12.5,18.5
design,447.0,-18.5,16.5,14.0
design,494.5,-13.5,21.5,9.0
