layer,x_um,y_um,w_um,h_um
feed,0.0,1.5,260.0,3.0
feed,0.0,-4.5,260.0,3.0
feed,560.0,1.5,260.0,3.0
feed,560.0,-4.5,260.0,3.0
design,535.5,1.5,1.5,41.0
design,494.0,1.5,2.5,39.0
design,450.0,1.5,2.5,37.0
design,409.0,1.5,3.5,35.0
design,366.5,1.5,3.5,33.0
design,326.0,1.5,0.5,31.0
design,283.0,1.5,1.5,29.0
design,534.5,23.0,1.0,0.5
design,537.0,23.0,1.0,0.5
design,323.0,18.0,3.0,0.5
design,326.5,18.0,3.0,0.5
design,280.0,17.0,3.0,0.5
design,284.5,17.0,3.0,0.5
design,260.0,1.5,23.0,3.0
design,284.5,1.5,41.5,3.0
design,326.5,1.5,40.0,3.0
design,370.0,1.5,39.0,3.0
design,412.5,1.5,37.5,3.0
design,452.5,1.5,41.5,3.0
design,496.5,1.5,39.0,3.0
design,537.0,1.5,23.0,3.0
design,260.0,-4.5,300.0,3.0
design,283.0,-30.5,1.5,26.0
design,326.0,-32.5,0.5,28.0
design,366.5,-34.5,3.5,30.0
design,409.0,-36.5,3.5,32.0
design,450.0,-38.5,2.5,34.0
design,494.0,-40.5,2.5,36.0
design,535.5,-42.5,1.5,38.0
design,280.0,-17.5,3.0,0.5
design,284.5,-17.5,3.0,0.5
design,323.0,-18.5,3.0,0.5
design,326.5,-18.5,3.0,0.5
design,534.5,-23.5,1.0,0.5
design,537.0,-23.5,1.0,0.5
