layer,x_um,y_um,w_um,h_um
feed,0.0,1.5,260.0,3.0
feed,0.0,-4.5,260.0,3.0
feed,560.0,1.5,260.0,3.0
feed,560.0,-4.5,260.0,3.0
design,536.0,1.5,1.5,42.5
design,510.5,1.5,1.5,41.0
design,484.5,1.5,1.5,40.0
design,460.0,1.5,1.5,38.5
design,433.0,1.5,1.5,37.5
design,409.0,1.5,0.5,36.5
design,383.5,1.5,1.5,35.0
design,359.5,1.5,1.5,34.0
design,334.0,1.5,2.5,32.5
design,308.5,1.5,1.5,31.5
design,283.0,1.5,2.5,30.5
design,534.0,24.0,2.0,0.5
design,537.5,24.0,2.0,0.5
design,509.5,23.0,1.0,0.5
design,512.0,23.0,1.0,0.5
design,483.0,22.5,1.5,0.5
design,486.0,22.5,1.5,0.5
design,458.0,22.0,2.0,0.5
design,461.5,22.0,2.0,0.5
design,429.5,21.5,3.5,0.5
design,434.5,21.5,3.5,0.5
design,406.0,21.0,3.0,0.5
design,409.5,21.0,3.0,0.5
design,380.0,20.0,3.5,0.5
design,385.0,20.0,3.5,0.5
design,357.0,19.5,2.5,0.5
design,361.0,19.5,2.5,0.5
design,306.5,18.5,2.0,0.5
design,310.0,18.5,2.0,0.5
design,260.0,1.5,23.0,3.0
design,285.5,1.5,23.0,3.0
design,310.0,1.5,24.0,3.0
design,336.5,1.5,23.0,3.0
design,361.0,1.5,22.5,3.0
design,385.0,1.5,24.0,3.0
design,409.5,1.5,23.5,3.0
design,434.5,1.5,25.5,3.0
design,461.5,1.5,23.0,3.0
design,486.0,1.5,24.5,3.0
design,512.0,1.5,24.0,3.0
design,537.5,1.5,22.5,3.0
design,260.0,-4.5,300.0,3.0
design,283.0,-32.0,2.5,27.5
design,308.5,-33.0,1.5,28.5
design,334.0,-34.0,2.5,29.5
design,359.5,-35.5,1.5,31.0
design,383.5,-36.5,1.5,32.0
design,409.0,-38.0,0.5,33.5
design,433.0,-39.0,1.5,34.5
design,460.0,-40.0,1.5,35.5
design,484.5,-41.5,1.5,37.0
design,510.5,-42.5,1.5,38.0
design,536.0,-44.0,1.5,39.5
design,306.5,-19.0,2.0,0.5
design,310.0,-19.0,2.0,0.5
design,357.0,-20.0,2.5,0.5
design,361.0,-20.0,2.5,0.5
design,380.0,-20.5,3.5,0.5
design,385.0,-20.5,3.5,0.5
design,406.0,-21.5,3.0,0.5
design,409.5,-21.5,3.0,0.5
design,429.5,-22.0,3.5,0.5
design,434.5,-22.0,3.5,0.5
design,458.0,-22.5,2.0,0.5
design,461.5,-22.5,2.0,0.5
design,483.0,-23.0,1.5,0.5
design,486.0,-23.0,1.5,0.5
design,509.5,-23.5,1.0,0.5
design,512.0,-23.5,1.0,0.5
design,534.0,-24.5,2.0,0.5
design,537.5,-24.5,2.0,0.5
